:mode=replace
:IOAccess;Application;Topic;AdviseActive;DDEProtocol;SecApplication;SecTopic;SecAdviseActive;SecDDEProtocol;FailoverExpression;FailoverDeadband;DFOFlag;FBDFlag;FailbackDeadband
"IOStatus";"view";"IOStatus";Yes;No
"local";"view";"tagname";Yes;No
"plc";"\\localhost\GATEWAY";"OPCUA_DCS2_2";No;No
:AlarmGroup;Group;Comment;EventLogged;EventLoggingPriority;LoLoAlarmDisable;LoAlarmDisable;HiAlarmDisable;HiHiAlarmDisable;MinDevAlarmDisable;MajDevAlarmDisable;RocAlarmDisable;DSCAlarmDisable;LoLoAlarmInhibitor;LoAlarmInhibitor;HiAlarmInhibitor;HiHiAlarmInhibitor;MinDevAlarmInhibitor;MajDevAlarmInhibitor;RocAlarmInhibitor;DSCAlarmInhibitor
:MemoryDisc;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;InitialDisc;OffMsg;OnMsg;AlarmState;AlarmPri;AlarmComment;AlarmAckModel;DSCAlarmDisable;DSCAlarmInhibitor;SymbolicName
:IODisc;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;InitialDisc;OffMsg;OnMsg;AlarmState;AlarmPri;DConversion;AccessName;ItemUseTagname;ItemName;ReadOnly;AlarmComment;AlarmAckModel;DSCAlarmDisable;DSCAlarmInhibitor;SymbolicName
"AccessLevelEnableView";"$System";"Просмотр мнемосхемы";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.00";No;"Просмотр мнемосхемы";0;0;"";""
"AccessLevelViewTrends";"$System";"Просмотр трендов";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.01";No;"Просмотр трендов";0;0;"";""
"AccessLevelViewAlarm";"$System";"Просмотр журнала событий";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.02";No;"Просмотр журнала событий";0;0;"";""
"AccessLevelAlarmAccept";"$System";"Квитирование аварийных сообщений";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.03";No;"Квитирование аварийных сообщений";0;0;"";""
"AccessLevelViewUsers";"$System";"Просмотр пользователей";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.04";No;"Просмотр пользователей";0;0;"";""
"AccessLevelEditUsers";"$System";"Настройка пользователей";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.05";No;"Настройка пользователей";0;0;"";""
"AccessLevelViewUserRules";"$System";"Просмотр прав уровней пользователей";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.06";No;"Просмотр прав уровней пользователей";0;0;"";""
"AccessLevelEditUserRules";"$System";"Настройка прав уровней пользователей";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.07";No;"Настройка прав уровней пользователей";0;0;"";""
"AccessLevelControlDev";"$System";"Управление технол. оборудованием";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.08";No;"Управление технол. оборудованием";0;0;"";""
"AccessLevelControlSmp";"$System";"Управление пробоотборником";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.09";No;"Управление пробоотборником";0;0;"";""
"AccessLevelEditSmp";"$System";"Изменение настроек пробоотборника";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.10";No;"Изменение настроек пробоотборника";0;0;"";""
"AccessLevelEditMask";"$System";"Маскирование параметров";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.11";No;"Маскирование параметров";0;0;"";""
"AccessLevelEditMode";"$System";"Включение/отключение режимов имитации, ремонта";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.12";No;"Включение/отключение режимов имитации, ремонта";0;0;"";""
"AccessLevelViewSettings";"$System";"Просмотр технол. уставок, шкал и настроек";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.13";No;"Просмотр технол. уставок, шкал и настроек";0;0;"";""
"AccessLevelEditSettings";"$System";"Изменение технол. уставок, шкал и настроек";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.14";No;"Изменение технол. уставок, шкал и настроек";0;0;"";""
"AccessLevelEditCoeffs";"$System";"Изменение констант и коэффициентов (ПР, ПП)";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.15";No;"Изменение констант и коэффициентов (ПР, ПП)";0;0;"";""
"AccessLevelEditPLCTime";"$System";"Администрирование контроллеров и времени";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.16";No;"Администрирование контроллеров и времени";0;0;"";""
"AccessLevelEditParamSI";"$System";"Изменение параметров СИ";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.17";No;"Изменение параметров СИ";0;0;"";""
"AccessLevelViewCtrlData";"$System";"Просмотр настроек контроля вводимых данных";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.18";No;"Просмотр настроек контроля вводимых данных";0;0;"";""
"AccessLevelEditCtrlData";"$System";"Изменение настроек контроля вводимых данных";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.19";No;"Изменение настроек контроля вводимых данных";0;0;"";""
"AccessLevelViewDocs";"$System";"Просмотр документации";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.20";No;"Просмотр документации";0;0;"";""
"AccessLevelEditDocs";"$System";"Оформление документации (первичное, паспорта, акты)";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.21";No;"Оформление документации (первичное, паспорта, акты)";0;0;"";""
"AccessLevelPrintDocs";"$System";"Печать документации";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.22";No;"Печать документации";0;0;"";""
"AccessLevelKmhProve";"$System";"Проведение КМХ и поверки";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.23";No;"Проведение КМХ и поверки";0;0;"";""
"AccessLevelEditPPO";"$System";"Администрирование системы";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.24";No;"Администрирование системы";0;0;"";""
"AccessLevelEditSPO";"$System";"Управление диагностикой системного ПО";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.25";No;"Управление диагностикой системного ПО";0;0;"";""
"AccessLevelEditSettingsSIKN";"$System";"Настройка параметров СИКН";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.26";No;"Настройка параметров СИКН";0;0;"";""
"AccessLevelResetArm";"$System";"Перезагрузка АРМ";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.27";No;"Перезагрузка АРМ";0;0;"";""
"AccessLevelViewCSUM";"$System";"Просмотр контроля целостности ПО";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.28";No;"Просмотр контроля целостности ПО";0;0;"";""
"AccessLevelReEditDocs";"$System";"Переформирование документации (первичное, паспорта, акты)";No;No;0;No;Off;"";"";None;1;Direct;"local";No;"AccessLevel.29";No;"Переформирование документации (первичное, паспорта, акты)";0;0;"";""
:MemoryInt;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;RetentiveAlarmParameters;AlarmValueDeadband;AlarmDevDeadband;EngUnits;InitialValue;MinValue;MaxValue;Deadband;LogDeadband;LoLoAlarmState;LoLoAlarmValue;LoLoAlarmPri;LoAlarmState;LoAlarmValue;LoAlarmPri;HiAlarmState;HiAlarmValue;HiAlarmPri;HiHiAlarmState;HiHiAlarmValue;HiHiAlarmPri;MinorDevAlarmState;MinorDevAlarmValue;MinorDevAlarmPri;MajorDevAlarmState;MajorDevAlarmValue;MajorDevAlarmPri;DevTarget;ROCAlarmState;ROCAlarmValue;ROCAlarmPri;ROCTimeBase;AlarmComment;AlarmAckModel;LoLoAlarmDisable;LoAlarmDisable;HiAlarmDisable;HiHiAlarmDisable;MinDevAlarmDisable;MajDevAlarmDisable;RocAlarmDisable;LoLoAlarmInhibitor;LoAlarmInhibitor;HiAlarmInhibitor;HiHiAlarmInhibitor;MinDevAlarmInhibitor;MajDevAlarmInhibitor;RocAlarmInhibitor;SymbolicName
"AccessLevel";"$System";"Тег доступа 0";No;No;0;No;No;0;0;"";0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;"Тег доступа 0";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_1_Settings";"$System";"Давление в трубопроводе (2.2 PT01). Настройки";No;No;0;Yes;Yes;0;0;"";0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;"Давление в трубопроводе (2.2 PT01). Настройки";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_2_Settings";"$System";"Температура в трубопроводе (2.2 TT01). Настройки";No;No;0;Yes;Yes;0;0;"";0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;"Температура в трубопроводе (2.2 TT01). Настройки";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_Settings";"$System";"Температура в трубопроводе (2.2 TT02). Настройки";No;No;0;Yes;Yes;0;0;"";0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;"Температура в трубопроводе (2.2 TT02). Настройки";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_Settings";"$System";"Загазованность блока (2.2AG01). Настройки";No;No;0;Yes;Yes;0;0;"";0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;"Загазованность блока (2.2AG01). Настройки";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
:IOInt;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;RetentiveAlarmParameters;AlarmValueDeadband;AlarmDevDeadband;EngUnits;InitialValue;MinEU;MaxEU;Deadband;LogDeadband;LoLoAlarmState;LoLoAlarmValue;LoLoAlarmPri;LoAlarmState;LoAlarmValue;LoAlarmPri;HiAlarmState;HiAlarmValue;HiAlarmPri;HiHiAlarmState;HiHiAlarmValue;HiHiAlarmPri;MinorDevAlarmState;MinorDevAlarmValue;MinorDevAlarmPri;MajorDevAlarmState;MajorDevAlarmValue;MajorDevAlarmPri;DevTarget;ROCAlarmState;ROCAlarmValue;ROCAlarmPri;ROCTimeBase;MinRaw;MaxRaw;Conversion;AccessName;ItemUseTagname;ItemName;ReadOnly;AlarmComment;AlarmAckModel;LoLoAlarmDisable;LoAlarmDisable;HiAlarmDisable;HiHiAlarmDisable;MinDevAlarmDisable;MajDevAlarmDisable;RocAlarmDisable;LoLoAlarmInhibitor;LoAlarmInhibitor;HiAlarmInhibitor;HiHiAlarmInhibitor;MinDevAlarmInhibitor;MajDevAlarmInhibitor;RocAlarmInhibitor;SymbolicName
"SHSU2_2_AI1_2_Replace_Value";"$System";"Температура в трубопроводе (2.2 TT01). Подстановочное значение";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,2].Replace_Value";No;"Температура в трубопроводе (2.2 TT01). Подстановочное значение";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_2_HiHiLimit";"$System";"Температура в трубопроводе (2.2 TT01). Верхний аварийный предел";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,2].HiHiLimit";No;"Температура в трубопроводе (2.2 TT01). Верхний аварийный предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_2_HiLimit";"$System";"Температура в трубопроводе (2.2 TT01). Верхний технологический предел";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,2].HiLimit";No;"Температура в трубопроводе (2.2 TT01). Верхний технологический предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_2_LoLimit";"$System";"Температура в трубопроводе (2.2 TT01). Нижний технологический предел";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,2].LoLimit";No;"Температура в трубопроводе (2.2 TT01). Нижний технологический предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_2_LoLoLimit";"$System";"Температура в трубопроводе (2.2 TT01). Нижний аварийный предел";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,2].LoLoLimit";No;"Температура в трубопроводе (2.2 TT01). Нижний аварийный предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_2_LoScale";"$System";"Температура в трубопроводе (2.2 TT01). Нижний предел измерения";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,2].LoScale";No;"Температура в трубопроводе (2.2 TT01). Нижний предел измерения";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_2_HiScale";"$System";"Температура в трубопроводе (2.2 TT01). Верхний предел измерения";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,2].HiScale";No;"Температура в трубопроводе (2.2 TT01). Верхний предел измерения";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_2_Current";"$System";"Температура в трубопроводе (2.2 TT01). Токовое значение";Yes;No;0;No;Yes;0;0;"мА";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,2].Current";No;"Температура в трубопроводе (2.2 TT01). Токовое значение";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3";"$System";"Температура в трубопроводе (2.2 TT02)";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].Value";No;"Температура в трубопроводе (2.2 TT02)";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_Replace_Value";"$System";"Температура в трубопроводе (2.2 TT02). Подстановочное значение";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].Replace_Value";No;"Температура в трубопроводе (2.2 TT02). Подстановочное значение";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_HiHiLimit";"$System";"Температура в трубопроводе (2.2 TT02). Верхний аварийный предел";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].HiHiLimit";No;"Температура в трубопроводе (2.2 TT02). Верхний аварийный предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_HiLimit";"$System";"Температура в трубопроводе (2.2 TT02). Верхний технологический предел";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].HiLimit";No;"Температура в трубопроводе (2.2 TT02). Верхний технологический предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_LoLimit";"$System";"Температура в трубопроводе (2.2 TT02). Нижний технологический предел";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].LoLimit";No;"Температура в трубопроводе (2.2 TT02). Нижний технологический предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_LoLoLimit";"$System";"Температура в трубопроводе (2.2 TT02). Нижний аварийный предел";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].LoLoLimit";No;"Температура в трубопроводе (2.2 TT02). Нижний аварийный предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_LoScale";"$System";"Температура в трубопроводе (2.2 TT02). Нижний предел измерения";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].LoScale";No;"Температура в трубопроводе (2.2 TT02). Нижний предел измерения";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_HiScale";"$System";"Температура в трубопроводе (2.2 TT02). Верхний предел измерения";Yes;No;0;No;Yes;0;0;"°С";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].HiScale";No;"Температура в трубопроводе (2.2 TT02). Верхний предел измерения";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_3_Current";"$System";"Температура в трубопроводе (2.2 TT02). Токовое значение";Yes;No;0;No;Yes;0;0;"мА";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,3].Current";No;"Температура в трубопроводе (2.2 TT02). Токовое значение";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6";"$System";"Загазованность блока (2.2AG01)";Yes;No;0;No;Yes;0;0;"%";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].Value";No;"Загазованность блока (2.2AG01)";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_Replace_Value";"$System";"Загазованность блока (2.2AG01). Подстановочное значение";Yes;No;0;No;Yes;0;0;"%";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].Replace_Value";No;"Загазованность блока (2.2AG01). Подстановочное значение";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_HiHiLimit";"$System";"Загазованность блока (2.2AG01). Верхний аварийный предел";Yes;No;0;No;Yes;0;0;"%";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].HiHiLimit";No;"Загазованность блока (2.2AG01). Верхний аварийный предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_HiLimit";"$System";"Загазованность блока (2.2AG01). Верхний технологический предел";Yes;No;0;No;Yes;0;0;"%";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].HiLimit";No;"Загазованность блока (2.2AG01). Верхний технологический предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_LoLimit";"$System";"Загазованность блока (2.2AG01). Нижний технологический предел";Yes;No;0;No;Yes;0;0;"%";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].LoLimit";No;"Загазованность блока (2.2AG01). Нижний технологический предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_LoLoLimit";"$System";"Загазованность блока (2.2AG01). Нижний аварийный предел";Yes;No;0;No;Yes;0;0;"%";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].LoLoLimit";No;"Загазованность блока (2.2AG01). Нижний аварийный предел";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_LoScale";"$System";"Загазованность блока (2.2AG01). Нижний предел измерения";Yes;No;0;No;Yes;0;0;"%";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].LoScale";No;"Загазованность блока (2.2AG01). Нижний предел измерения";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_HiScale";"$System";"Загазованность блока (2.2AG01). Верхний предел измерения";Yes;No;0;No;Yes;0;0;"%";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].HiScale";No;"Загазованность блока (2.2AG01). Верхний предел измерения";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
"SHSU2_2_AI1_6_Current";"$System";"Загазованность блока (2.2AG01). Токовое значение";Yes;No;0;No;Yes;0;0;"мА";0;-50;100;0;0.05;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-50;100;Linear;"plc";No;"/pv/::DCS2_2:AI[1,6].Current";No;"Загазованность блока (2.2AG01). Токовое значение";0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";""
:MemoryMsg;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;MaxLength;InitialMessage;AlarmComment;SymbolicName
:IOMsg;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;MaxLength;InitialMessage;AccessName;ItemUseTagname;ItemName;ReadOnly;AlarmComment;SymbolicName
:GroupVar;Group;Comment;SymbolicName
:HistoryTrend;Group;Comment;SymbolicName
:TagID;Group;Comment
:IndirectDisc;Group;Comment;EventLogged;EventLoggingPriority;RetentiveValue;SymbolicName
:IndirectAnalog;Group;Comment;EventLogged;EventLoggingPriority;RetentiveValue;SymbolicName
:IndirectMsg;Group;Comment;EventLogged;EventLoggingPriority;RetentiveValue;SymbolicName
